CodeEx,Tatouage,triCode,Sens,Fermeture
DEF-NSW-701/DEF,L10.122A,A14,W,A14&NEU-W
DEF-NSW-702/DEF,L10.123C,A14,W,A14&NEU-W
DEF-NSW-601/DEF,L10.124D,A14,W,A14&NEU-W
DEF-NSW-602/DEF,L10.125E,A14,W,A14&NEU-W
DEF-NSW-603/DEF,L10.126F,A14,W,A14&NEU-W
DEF-NSY-001/DEF,L10.129J,A14,Y,A14&NEU-Y
DEF-NSY-002/DEF,L10.131L,A14,Y,A14&NEU-Y
DEF-NSY-003/DEF,L10.132M,A14,Y,A14&NEU-Y
DEF-NSY-004/DEF,L10.133N,A14,Y,A14&NEU-Y
DEF-NSY-005/DEF,L10.134P,A14,Y,A14&NEU-Y
DEF-NSY-006/DEF,L10.135R,A14,Y,A14&NEU-Y
DEF-NSY-007/DEF,L10.136S,A14,Y,A14&NEU-Y
DEF-NSY-008/DEF,L10.137T,A14,Y,A14&NEU-Y
DEF-NSY-009/DEF,L10.138U,A14,Y,A14&NEU-Y
DEF-NSY-010/DEF,L10.139V,A14,Y,A14&NEU-Y
DEF-NSY-011/DEF,L10.141X,A14,Y,A14&NEU-Y
DEF-NSY-012/DEF,L10.142Y,A14,Y,A14&NEU-Y
DEF-NSY-013/DEF,L10.143A,A14,Y,A14&NEU-Y
DEF-NSY-501/DEF,L10.144C,A14,Y,A14&NEU-Y
DEF-NSY-502/DEF,L10.145D,A14,Y,A14&NEU-Y
DEF-NSY-014/DEF,L10.146E,A14,Y,A14&NEU-Y
DEF-NSY-015/DEF,L10.147F,A14,Y,A14&NEU-Y
DEF-NSY-016/DEF,L10.148G,A14,Y,A14&NEU-Y
DEF-NSY-017/DEF,L10.149H,A14,Y,A14&NEU-Y
DEF-NSY-018/DEF,L10.151K,A14,Y,A14&NEU-Y
DEF-NSY-019/DEF,L10.152L,A14,Y,A14&NEU-Y
DEF-NSY-020/DEF,L10.153M,A14,Y,A14&NEU-Y
DEF-NSY-021/DEF,L10.154N,A14,Y,A14&NEU-Y
DEF-NSY-022/DEF,L10.155P,A14,Y,A14&NEU-Y
DEF-NSY-023/DEF,L10.156R,ECH,Y,
DEF-NSY-024/DEF,L10.157S,A14,Y,A14&NEU-Y
DEF-NSY-025/DEF,L10.158T,A14,Y,A14&NEU-Y
DEF-NSW-001/DEF,L10.159U,A14,W,A14&NEU-W
DEF-NSW-002/DEF,L10.161W,A14,W,A14&NEU-W
DEF-NSW-003/DEF,L10.162X,A14,W,A14&NEU-W
DEF-NSW-004/DEF,L10.163Y,A14,W,A14&NEU-W
DEF-NSW-005/DEF,L10.164A,A14,W,A14&NEU-W
DEF-NSW-006/DEF,L10.165C,A14,W,A14&NEU-W
DEF-NSW-007/DEF,L10.166D,A14,W,A14&NEU-W
DEF-NSW-008/DEF,L10.167E,A14,W,A14&NEU-W
DEF-NSW-009/DEF,L10.168F,A14,W,A14&NEU-W
DEF-NSW-010/DEF,L10.169G,A14,W,A14&NEU-W
DEF-NSW-011/DEF,L10.171J,A14,W,A14&NEU-W
DEF-NSW-501/DEF,L10.172K,A14,W,A14&NEU-W
DEF-NSW-502/DEF,L10.173L,A14,W,A14&NEU-W
DEF-NSW-012/DEF,L10.174M,A14,W,A14&NEU-W
DEF-NSW-013/DEF,L10.175N,A14,W,A14&NEU-W
DEF-NSW-014/DEF,L10.176P,A14,W,A14&NEU-W
DEF-NSW-015/DEF,L10.177R,A14,W,A14&NEU-W
DEF-NSW-016/DEF,L10.178S,A14,W,A14&NEU-W
DEF-NSW-017/DEF,L10.179T,A14,W,A14&NEU-W
DEF-NSW-018/DEF,L10.181V,A14,W,A14&NEU-W
DEF-NSW-019/DEF,L10.182W,A14,W,A14&NEU-W
DEF-NSW-703/DEF,L10.183X,A14,W,A14&NEU-W
DEF-NSW-020/DEF,L10.184Y,A14,W,A14&NEU-W
DEF-NSW-021/DEF,L10.185A,A14,W,A14&NEU-W
DEF-NSW-022/DEF,L10.186C,A14,W,A14&NEU-W
DEF-NSW-023/DEF,L10.187D,A14,W,A14&NEU-W
DEF-NSW-901/DEF,L10.197P,A14,W,A14&NEU-W
DEF-NSW-024/DEF,L10.198R,A14,W,A14&NEU-W
DEF-NSW-902/DEF,L10.199S,A14,W,A14&NEU-W
DEF-NSY-901/DEF,L10.201U,A14,Y,A14&NEU-Y
NSE-001/BEL,L10.208D,RUE,E,RUE-E
NSE-003/BEL,L10.211G,RUE,E,RUE-E
NSI-006/BEL,L10.212H,RUE,I,RUE-I
NSE-002/BEL,L10.213J,RUE,E,RUE-E
NSI-005/BEL,L10.214K,RUE,I,RUE-I
NSE-004/BEL,L10.215L,RUE,E,RUE-E
NSI-004/BEL,L10.216M,RUE,I,RUE-I
NSE-005/BEL,L10.217N,RUE,E,RUE-E
NSI-003/BEL,L10.218P,RUE,I,RUE-I
NSE-006/BEL,L10.219R,RUE,E,RUE-E
NSI-002/BEL,L10.221T,RUE,I,RUE-I
NSE-007/BEL,L10.222U,RUE,E,RUE-E
NSI-001/BEL,L10.223V,RUE,I,RUE-I
NSE-001/ANT,L11.055L,ANT,E,FRE&ANT-E
NSE-002/ANT,L11.056M,ANT,E,FRE&ANT-E
NSE-003/ANT,L11.057N,ANT,E,FRE&ANT-E
NSE-004/ANT,L11.058P,ANT,E,FRE&ANT-E
NSE-005/ANT,L11.059R,ANT,E,FRE&ANT-E
NSI-001/ANT,L11.061T,ANT,I,FRE&ANT-I
NSI-002/ANT,L11.062U,ANT,I,FRE&ANT-I
NSI-003/ANT,L11.063V,ANT,I,FRE&ANT-I
NSI-004/ANT,L11.064W,ANT,I,FRE&ANT-I
NSI-005/ANT,L11.065X,ANT,I,FRE&ANT-I
NSE-001/BOB,L11.066Y,BDR,E,BLN&CRN-E
NSE-002/BOB,L11.067A,BDR,E,BLN&CRN-E
NSE-003/BOB,L11.068C,BDR,E,BLN&CRN-E
NSE-004/BOB,L11.069D,BDR,E,BLN&CRN-E
NSE-005/BOB,L11.071F,BDR,E,BLN&CRN-E
NSE-006/BOB,L11.072G,BDR,E,BLN&CRN-E
NSE-008/BOB,L11.073H,BDR,E,BLN&CRN-E
NSE-010/BOB,L11.074J,BDR,E,BLN&CRN-E
NSE-012/BOB,L11.075K,BDR,E,BLN&CRN-E
NSE-013/BOB,L11.076L,BDR,E,BLN&CRN-E
NSE-014/BOB,L11.077M,BDR,E,BLN&CRN-E
NSE-101/BOB,L11.078N,BDR,E,BLN&CRN-E
NSI-001/BOB,L11.079P,BDR,I,BLN&CRN-I
NSI-002/BOB,L11.081S,BDR,I,BLN&CRN-I
NSI-003/BOB,L11.082T,BDR,I,BLN&CRN-I
NSI-004/BOB,L11.083U,BDR,I,BLN&CRN-I
NSI-006/BOB,L11.084V,BDR,I,BLN&CRN-I
NSI-008/BOB,L11.085W,BDR,I,BLN&CRN-I
NSI-010/BOB,L11.086X,BDR,I,BLN&CRN-I
NSI-011/BOB,L11.087Y,BDR,I,BLN&CRN-I
NSI-013/BOB,L11.088A,BDR,I,BLN&CRN-I
NSI-014/BOB,L11.089C,BDR,I,BLN&CRN-I
NSI-015/BOB,L11.091E,BDR,I,BLN&CRN-I
NSI-016/BOB,L11.092F,BDR,I,BLN&CRN-I
NSW-001/PAR,L11.093G,BAP,W,BAP&SCL-W
NSW-002/PAR,L11.094H,BAP,W,BAP&SCL-W
NSW-003/PAR,L11.095J,BAP,W,BAP&SCL-W
NSW-004/PAR,L11.096K,BAP,W,BAP&SCL-W
NSW-005/PAR,L11.097L,BAP,W,BAP&SCL-W
NSW-006/PAR,L11.098M,BAP,W,BAP&SCL-W
NSW-007/PAR,L11.099N,BAP,W,BAP&SCL-W
NSY-001/PAR,L11.102S,BAP,Y,BAP&SCL-Y
NSY-002/PAR,L11.103T,BAP,Y,BAP&SCL-Y
NSY-003/PAR,L11.104U,BAP,Y,BAP&SCL-Y
NSY-004/PAR,L11.105V,BAP,Y,BAP&SCL-Y
NSY-005/PAR,L11.106W,BAP,Y,BAP&SCL-Y
NSY-006/PAR,L11.107X,BAP,Y,BAP&SCL-Y
NSY-007/PAR,L11.108Y,BAP,Y,BAP&SCL-Y
NSW-001/CHA,L11.111D,CHA,W,CHA-W
NSW-002/CHA,L11.112E,CHA,W,CHA-W
NSW-003/CHA,L11.113F,CHA,W,CHA-W
NSW-004/CHA,L11.114G,CHA,W,CHA-W
NSW-005/CHA,L11.115H,CHA,W,CHA-W
NSW-006/CHA,L11.116J,CHA,W,CHA-W
NSW-007/CHA,L11.117K,CHA,W,CHA-W
NSW-008/CHA,L11.118L,CHA,W,CHA-W
NSW-009/CHA,L11.119M,CHA,W,CHA-W
NSY-002/CHA,L11.122R,CHA,Y,CHA-Y
NSY-003/CHA,L11.123S,CHA,Y,CHA-Y
NSY-004/CHA,L11.124T,CHA,Y,CHA-Y
NSY-005/CHA,L11.125U,CHA,Y,CHA-Y
NSY-006/CHA,L11.126V,CHA,Y,CHA-Y
NSY-007/CHA,L11.127W,CHA,Y,CHA-Y
NSY-008/CHA,L11.128X,CHA,Y,CHA-Y
NSY-009/CHA,L11.129Y,CHA,Y,CHA-Y
NSW-001/CLO,L11.131C,SCL,W,BAP&SCL-W
NSW-002/CLO,L11.132D,SCL,W,BAP&SCL-W
NSW-003/CLO,L11.133E,SCL,W,BAP&SCL-W
NSW-004/CLO,L11.134F,SCL,W,BAP&SCL-W
NSW-005/CLO,L11.135G,SCL,W,BAP&SCL-W
NSW-006/CLO,L11.136H,SCL,W,BAP&SCL-W
NSY-001/CLO,L11.137J,SCL,Y,BAP&SCL-Y
NSY-002/CLO,L11.138K,SCL,Y,BAP&SCL-Y
NSY-003/CLO,L11.139L,SCL,Y,BAP&SCL-Y
NSY-004/CLO,L11.141N,SCL,Y,BAP&SCL-Y
NSY-005/CLO,L11.142P,SCL,Y,BAP&SCL-Y
NSY-006/CLO,L11.143R,SCL,Y,BAP&SCL-Y
NSY-007/CLO,L11.144S,SCL,Y,BAP&SCL-Y
NSE-001/COU,L11.145T,CRN,E,BLN&CRN-E
NSE-002/COU,L11.146U,CRN,E,BLN&CRN-E
NSI-001/COU,L11.147V,CRN,I,BLN&CRN-I
NSI-002/COU,L11.148W,CRN,I,BLN&CRN-I
DEF-NSY-601/DEF,L11.149X,A14,Y,A14&NEU-Y
DEF-NSY-602/DEF,L11.151A,A14,Y,A14&NEU-Y
DEF-NSY-603/DEF,L11.152C,A14,Y,A14&NEU-Y
DEF-NSY-701/DEF,L11.153D,A14,Y,A14&NEU-Y
DEF-NSY-702/DEF,L11.154E,A14,Y,A14&NEU-Y
DEF-NSY-703/DEF,L11.155F,A14,Y,A14&NEU-Y
DEF-NSY-902/DEF,L11.156G,A14,Y,A14&NEU-Y
ECH-NSW-301/DEF,L11.157H,ECH,E>W,A14&NEU-W
ECH-NSW-302/DEF,L11.158J,ECH,E>W,A14&NEU-W
ECH-NSW-303/DEF,L11.159K,ECH,E>W,A14&NEU-W
ECH-NIW-304/DEF,L11.161M,ECH,E>W,A14&NEU-W
ECH-NSW-304/DEF,L11.162N,ECH,I>W,A14&NEU-W
ECH-NSW-801/DEF,L11.163P,ECH,I>W,A14&NEU-W
ECH-NSY-101/DEF,L11.164R,ECH,Y>E,NAN-E
ECH-NSY-102/DEF,L11.165S,ECH,Y>E,NAN-E
ECH-NSY-103/DEF,L11.166T,ECH,Y>E,NAN-E
ECH-NSY-104/DEF,L11.167U,ECH,Y>E,NAN-E
ECH-NSY-401/DEF,L11.168V,ECH,E,
ECH-NSY-402/DEF,L11.169W,ECH,E>Y,A14&NEU-W
ECH-NSY-403/DEF,L11.171Y,ECH,E>Y,A14&NEU-W
ECH-NSY-404/DEF,L11.172A,ECH,E>Y,A14&NEU-W
NSE-001/MOU,L11.173C,MOU,E,GMO&MOU-E
NSE-002/MOU,L11.174D,MOU,E,GMO&MOU-E
NSE-003/MOU,L11.175E,MOU,E,GMO&MOU-E
NSE-004/MOU,L11.176F,MOU,E,GMO&MOU-E
NSI-001/MOU,L11.177G,MOU,I,GMO&MOU-I
NSI-002/MOU,L11.178H,MOU,I,GMO&MOU-I
NSW-001/FON,L11.179J,FLF,W,FLF-W
NSW-004/FON,L11.181L,FLF,W,FLF-W
NSY-001/FON,L11.182M,FLF,Y,FLF-Y
NSY-004/FON,L11.183N,FLF,Y,FLF-Y
NSE-001/FRE,L11.184P,FRE,E,FRE&ANT-E
NSE-002/FRE,L11.185R,FRE,E,FRE&ANT-E
NSE-003/FRE,L11.186S,FRE,E,FRE&ANT-E
NSE-004/FRE,L11.187T,FRE,E,FRE&ANT-E
NSI-001/FRE,L11.188U,FRE,I,FRE&ANT-I
NSI-002/FRE,L11.189V,FRE,I,FRE&ANT-I
NSI-003/FRE,L11.191X,FRE,I,FRE&ANT-I
NSI-004/FRE,L11.192Y,FRE,I,FRE&ANT-I
NSI-005/FRE,L11.193A,FRE,I,FRE&ANT-I
NSW-001/LAN,L11.194C,LAN,W,LAN-W
NSW-003/LAN,L11.195D,LAN,W,LAN-W
NSW-005/LAN,L11.196E,LAN,W,LAN-W
NSW-007/LAN,L11.197F,LAN,W,LAN-W
NSW-009/LAN,L11.198G,LAN,W,LAN-W
NSW-010/LAN,L11.199H,LAN,W,LAN-W
NSW-011/LAN,L11.201K,LAN,W,LAN-W
NSY-001/LAN,L11.202L,LAN,Y,LAN-Y
NSY-002/LAN,L11.203M,LAN,Y,LAN-Y
NSY-004/LAN,L11.204N,LAN,Y,LAN-Y
NSY-006/LAN,L11.205P,LAN,Y,LAN-Y
NSY-008/LAN,L11.206R,LAN,Y,LAN-Y
NSY-010/LAN,L11.207S,LAN,Y,LAN-Y
NSEY/LAN,L11.208T,LAN,Y,LAN-Y
NSE-001/LUN,L11.209U,LNO,E,BLN&CRN-E
NSE-002/LUN,L11.211W,LNO,E,BLN&CRN-E
NSE-003/LUN,L11.212X,LNO,E,BLN&CRN-E
NSE-004/LUN,L11.213Y,LNO,E,BLN&CRN-E
NSE-005/LUN,L11.214A,LNO,E,BLN&CRN-E
NSE-006/LUN,L11.215C,LNO,E,BLN&CRN-E
NSE-007/LUN,L11.216D,LNO,E,BLN&CRN-E
NSI-001/LUN,L11.217E,LNO,I,BLN&CRN-I
NSI-002/LUN,L11.218F,LNO,I,BLN&CRN-I
NSI-003/LUN,L11.219G,LNO,I,BLN&CRN-I
NSI-004/LUN,L11.221J,LNO,I,BLN&CRN-I
NSI-005/LUN,L11.222K,LNO,I,BLN&CRN-I
NSI-006/LUN,L11.223L,LNO,I,BLN&CRN-I
NSI-007/LUN,L11.224M,LNO,I,BLN&CRN-I
NSE-001/MOQ,L11.225N,GMO,E,GMO&MOU-E
NSE-002/MOQ,L11.226P,GMO,E,GMO&MOU-E
NSE-003/MOQ,L11.227R,GMO,E,GMO&MOU-E
NSI-001/MOQ,L11.228S,GMO,I,GMO&MOU-I
NSI-002/MOQ,L11.229T,GMO,I,GMO&MOU-I
NSI-003/MOQ,L11.231V,GMO,I,GMO&MOU-I
NAN-NSE-001/DEF,L11.232W,NAN,E,NAN-E
NAN-NSE-002/DEF,L11.233X,NAN,E,NAN-E
NAN-NSE-003/DEF,L11.234Y,NAN,E,NAN-E
NAN-NSE-004/DEF,L11.235A,NAN,E,NAN-E
NAN-NSE-005/DEF,L11.236C,NAN,E,NAN-E
NAN-NSE-006/DEF,L11.237D,NAN,E,NAN-E
NAN-NSI-001/DEF,L11.238E,NAN,I,NAN-I
NAN-NSI-002/DEF,L11.239F,NAN,I,NAN-I
NAN-NSI-003/DEF,L11.241H,NAN,I,NAN-I
NAN-NSI-004/DEF,L11.242J,NAN,I,NAN-I
NAN-NSI-005/DEF,L11.243K,NAN,I,NAN-I
NAN-NSI-006/DEF,L11.244L,NAN,I,NAN-I
NSW-001/NEU,L11.245M,NEU,W,A14&NEU-W
NSW-002/NEU,L11.246N,NEU,W,A14&NEU-W
NSW-003/NEU,L11.247P,NEU,W,A14&NEU-W
NSY-001/NEU,L11.248R,NEU,Y,A14&NEU-Y
NSY-002/NEU,L11.249S,NEU,Y,A14&NEU-Y
NSY-003/NEU,L11.251U,NEU,Y,A14&NEU-Y
NSE-001/NOG,L11.252V,NOG,E,NOG-E
NSE-002/NOG,L11.253W,NOG,E,NOG-E
NSE-003/NOG,L11.254X,NOG,E,NOG-E
NSE-004/NOG,L11.255Y,NOG,E,NOG-E
NSE-005/NOG,L11.256A,NOG,E,NOG-E
NSE-006/NOG,L11.257C,NOG,E,NOG-E
NSE-007/NOG,L11.258D,NOG,E,NOG-E
NSE-008/NOG,L11.259E,NOG,E,NOG-E
NSE-009/NOG,L11.261G,NOG,E,NOG-E
NSE-010/NOG,L11.262H,NOG,E,NOG-E
NSE-011/NOG,L11.263J,NOG,E,NOG-E
NSE-012/NOG,L11.264K,NOG,E,NOG-E
NSI-001/NOG,L11.265L,NOG,I,NOG-I
NSI-002/NOG,L11.266M,NOG,I,NOG-I
NSI-003/NOG,L11.267N,NOG,I,NOG-I
NSI-004/NOG,L11.268P,NOG,I,NOG-I
NSI-005/NOG,L11.269R,NOG,I,NOG-I
NSI-006/NOG,L11.271T,NOG,I,NOG-I
NSI-007/NOG,L11.272U,NOG,I,NOG-I
NSI-008/NOG,L11.273V,NOG,I,NOG-I
NSI-009/NOG,L11.274W,NOG,I,NOG-I
NSI-010/NOG,L11.275X,NOG,I,NOG-I
NSI-011/NOG,L11.276Y,NOG,I,NOG-I
NSI-012/NOG,L11.277A,NOG,I,NOG-I
NSW-001/CHE,L11.278C,CHE,W,CHE
NSW-002/CHE,L11.279D,CHE,W,CHE
NSW-003/CHE,L11.281F,CHE,W,CHE
NSY-001/CHE,L11.282G,CHE,Y,CHE
NSY-002/CHE,L11.283H,CHE,Y,CHE
NSY-003/CHE,L11.284J,CHE,Y,CHE
NSW-001/SEV,L11.285K,SEV,W,SEV
NSW-002/SEV,L11.286L,SEV,W,SEV
NSEW/SEV,L11.287M,SEV,W,SEV
NSY-001/SEV,L11.288N,SEV,Y,SEV
NSY-002/SEV,L11.289P,SEV,Y,SEV
NSY-101/SEV,L11.291S,SEV,Y,SEV
NSW-001/TAV,L11.292T,TAV,W,TAV
NSW-002/TAV,L11.293U,TAV,W,TAV
NSW-003/TAV,L11.294V,TAV,W,TAV
NSW-004/TAV,L11.295W,TAV,W,TAV
NSY-001/TAV,L11.296X,TAV,Y,TAV
NSY-002/TAV,L11.297Y,TAV,Y,TAV
NSY-003/TAV,L11.298A,TAV,Y,TAV
NSY-004/TAV,L11.299C,TAV,Y,TAV
NSEW/LAN,L11.339Y,LAN,W,LAN-W
NSW-002/LAN,L11.341C,LAN,W,LAN-W
NSW-004/LAN,L11.342D,LAN,W,LAN-W
NSW-006/LAN,L11.343E,LAN,W,LAN-W
NSW-008/LAN,L11.344F,LAN,W,LAN-W
NSY-101/LAN,L11.345G,LAN,Y,LAN-Y
NSY-009/LAN,L11.346H,LAN,Y,LAN-Y
NSY-007/LAN,L11.347J,LAN,Y,LAN-Y
NSY-005/LAN,L11.348K,LAN,Y,LAN-Y
NSY-003/LAN,L11.349L,LAN,Y,LAN-Y
NS01/BIC,L11.352P,BIC,W,BIC&ITA-W
NS02/BIC,L11.353R,BIC,Y,BIC&ITA-Y
NS03/BIC,L11.354S,BIC,W,BIC&ITA-W
NS04/BIC,L11.355T,BIC,Y,BIC&ITA-Y
NS05/BIC,L11.356U,BIC,W,BIC&ITA-W
NS06/BIC,L11.357V,BIC,Y,BIC&ITA-Y
NS07/BIC,L11.358W,BIC,W,BIC&ITA-W
NS08/BIC,L11.359X,BIC,Y,BIC&ITA-Y
NS09/BIC,L11.361A,BIC,W,BIC&ITA-W
NS10/BIC,L11.362C,BIC,Y,BIC&ITA-Y
NS11/BIC,L11.363D,BIC,W,BIC&ITA-W
NS12/BIC,L11.364E,BIC,Y,BIC&ITA-Y
NS13/BIC,L11.365F,BIC,W,BIC&ITA-W
NS14/BIC,L11.366G,BIC,Y,BIC&ITA-Y
NS15/BIC,L11.367H,BIC,W,BIC&ITA-W
NS16/BIC,L11.368J,BIC,Y,BIC&ITA-Y
NS17/BIC,L11.369K,BIC,W,BIC&ITA-W
NS18/BIC,L11.371M,BIC,Y,BIC&ITA-Y
NS19/BIC,L11.372N,BIC,W,BIC&ITA-W
NS20/BIC,L11.373P,BIC,Y,BIC&ITA-Y
NS21/BIC,L11.374R,BIC,W,BIC&ITA-W
NS22/BIC,L11.375S,BIC,Y,BIC&ITA-Y
ECH-NS-01 B5/DEF,L11.383A,ECH,W>I,A14&NEU-Y
ECH-NI-01 B5/DEF,L11.384C,ECH,W>I,A14&NEU-Y
ECH-NI-02 B5/DEF,L11.385D,ECH,W>I,A14&NEU-Y
ECH-NS-02 B5/DEF,L11.386E,ECH,W>I,A14&NEU-Y
ECH-NS-03 B5/DEF,L11.387F,ECH,W>I,A14&NEU-Y
ECH-NI-03 B5/DEF,L11.388G,ECH,W>I,A14&NEU-Y
ECH-NS-04 B5/DEF,L11.389H,ECH,W>I,A14&NEU-Y
NSY-008/CLO,L11.516J,SCL,Y,BAP&SCL-Y
NSW-007/CLO,L11.517K,SCL,W,BAP&SCL-W
NSW-008/CLO,L11.518L,SCL,W,BAP&SCL-W
NSW-009/CLO,L11.519M,SCL,W,BAP&SCL-W
NIY-001/CLO,L11.521P,SCL,Y,BAP&SCL-Y
NIY-002/CLO,L11.522R,SCL,Y,BAP&SCL-Y
NIY-003/CLO,L11.523S,SCL,Y,BAP&SCL-Y
NIY-004/CLO,L11.524T,SCL,Y,BAP&SCL-Y
NIY-005/CLO,L11.525U,SCL,Y,BAP&SCL-Y
NIY-006/CLO,L11.526V,SCL,Y,BAP&SCL-Y
NIW-001/PAR,L11.527W,BAP,W,BAP&SCL-W
NIW-002/PAR,L11.528X,BAP,W,BAP&SCL-W
NIW-003/PAR,L11.529Y,BAP,W,BAP&SCL-W
NIW-004/PAR,L11.531C,BAP,W,BAP&SCL-W
NIW-005/PAR,L11.532D,BAP,W,BAP&SCL-W
NIW-006/PAR,L11.533E,BAP,W,BAP&SCL-W
NIW-007/PAR,L11.534F,BAP,W,BAP&SCL-W
NIW-008/PAR,L11.535G,BAP,W,BAP&SCL-W
NIW-009/PAR,L11.536H,BAP,W,BAP&SCL-W
NIY-001/PAR,L11.537J,BAP,Y,BAP&SCL-Y
NIY-002/PAR,L11.538K,BAP,Y,BAP&SCL-Y
NIY-003/PAR,L11.539L,BAP,Y,BAP&SCL-Y
NIY-004/PAR,L11.541N,BAP,Y,BAP&SCL-Y
NIY-005/PAR,L11.542P,BAP,Y,BAP&SCL-Y
NIY-006/PAR,L11.543R,BAP,Y,BAP&SCL-Y
NIY-007/PAR,L11.544S,BAP,Y,BAP&SCL-Y
NIY-008/PAR,L11.545T,BAP,Y,BAP&SCL-Y
NIY-009/PAR,L11.546U,BAP,Y,BAP&SCL-Y
NS1/ITA,L11.552C,ITA,Y,BIC&ITA-Y
NS2/ITA,L11.553D,ITA,Y,BIC&ITA-Y
NS3/ITA,L11.554E,ITA,Y,BIC&ITA-Y
NS4/ITA,L11.555F,ITA,Y,BIC&ITA-Y
NS5/ITA,L11.556G,ITA,Y,BIC&ITA-Y
NS6/ITA,L11.557H,ITA,W,
NS-Y1,L11.594C,BOI,Y,BOI-Y
NS-Y2,L11.595D,BOI,Y,BOI-Y
NS-Y3,L11.596E,BOI,Y,BOI-Y
NS-Y4,L11.597F,BOI,Y,BOI-Y
NS-Y5,L11.598G,BOI,Y,BOI-Y
NS-Y6,L11.599H,BOI,Y,BOI-Y
NS-W1,L11.601K,BOI,W,BOI-W
NS-W2,L11.602L,BOI,W,BOI-W
NS-W3,L11.603M,BOI,W,BOI-W
NS-W4,L11.604N,BOI,W,BOI-W
NS-W5,L11.605P,BOI,W,BOI-W
NS-W6,L11.606R,BOI,W,BOI-W
NI-Y1,L11.607S,BOI,Y,BOI-Y
NI-Y2,L11.608T,BOI,Y,BOI-Y
NI-Y3,L11.609U,BOI,Y,BOI-Y
NI-Y4,L11.611W,BOI,Y,BOI-Y
NI-Y5,L11.612X,BOI,Y,BOI-Y
NI-Y6,L11.613Y,BOI,Y,BOI-Y
NI-W1,L11.614A,BOI,W,BOI-W
NI-W2,L11.615C,BOI,W,BOI-W
NI-W3,L11.616D,BOI,W,BOI-W
NI-W4,L11.617E,BOI,W,BOI-W
NI-W5,L11.618F,BOI,W,BOI-W
NI-W6,L11.619G,BOI,W,BOI-W
NSY-001/ORLY,L11.643K,ORL,Y,ORL
NSY-002/ORLY,L11.646N,ORL,Y,ORL
NSY-003/ORLY,L11.648R,ORL,Y,ORL
NSY-004/ORLY,L11.649S,ORL,Y,ORL
NSY-005/ORLY,L11.652V,ORL,Y,ORL
NSY-006/ORLY,L11.654X,ORL,Y,ORL
NSW-006/ORLY,L11.655Y,ORL,W,ORL
NSW-005/ORLY,L11.658D,ORL,W,ORL
NSW-004/ORLY,L11.661G,ORL,W,ORL
NSW-003/ORLY,L11.662H,ORL,W,ORL
NSW-002/ORLY,L11.664K,ORL,W,ORL
NSW-001/ORLY,L11.666M,ORL,W,ORL
NSY-001/CHA,L11.742D,CHA,Y,CHA-Y
NSE/SAUSSAIE,L11.769K,MOU,E,GMO&MOU-E
NSS/SAUSSAIE,L11.771M,MOU,E,GMO&MOU-E
NSI-007/BOB,L11.804C,BDR,I,BLN&CRN-I
NSI-009/BOB,L11.805D,BDR,I,BLN&CRN-I
NSI-012/BOB,L11.806E,BDR,I,BLN&CRN-I
NSE-007/BOB,L11.807F,BDR,E,BLN&CRN-E
NSE-011/BOB,L11.808G,BDR,E,BLN&CRN-E
NSE-009/BOB,L11.809H,BDR,E,BLN&CRN-E
NSI-005/BOB,L11.811K,BDR,I,BLN&CRN-I
NSW-001/TRI,L11.861U,,W,
NSW-002/TRI,L11.862V,,W,
NSY-001/TRI,L11.863W,,Y,
NSY-002/TRI,L11.864X,,Y,
PN6-W,L11.902T,BOI,W,BOI-W
PN7-W,L11.903U,BOI,W,BOI-W
PN8-W,L11.904V,BOI,W,BOI-W
PN9-W,L11.905W,BOI,W,BOI-W
PN6-Y,L11.906X,BOI,Y,BOI-Y
PN7-Y,L11.907Y,BOI,Y,BOI-Y
PN8-Y,L11.908A,BOI,Y,BOI-Y
PN9-Y,L11.909C,BOI,Y,BOI-Y
NSY-002/FON,L11.938L,FLF,Y,FLF-Y
NS-421a/FON,L11.939M,FLF,Y,FLF-Y
NSY-003/FON,L11.941P,FLF,Y,FLF-Y
NS-421b/FON,L11.942R,FLF,Y,FLF-Y
NSW-002/FON,L11.943S,FLF,W,FLF-W
NS-423a/FON,L11.944T,FLF,W,FLF-W
NSW-003/FON,L11.945U,FLF,W,FLF-W
NS-423b/FON,L11.946V,FLF,W,FLF-W
NSEY/FON,L11.947W,FLF,Y,FLF-Y
NSSY/FON,L11.948X,FLF,Y,FLF-Y
NSEW/FON,L11.949Y,FLF,W,FLF-W
NSSW/FON,L11.951C,FLF,W,FLF-W
NAN-NSEE/DEF,L11.959L,NAN,E,NAN-E
